,Activity:,Cause:,Country:,Employer:,Fatalities:,Location:,Region:,Year:
369,"Maintenance, inspection, testing",Explosions or burns,NIGERIA,Contractor,1,Onshore,Africa,2008
370,"Maintenance, inspection, testing",Falls from height,MEXICO,Company,1,Onshore,North America,2000
371,"Transport - Water, incl. marine activity","Water related, drowning",NIGERIA,Contractor,1,Onshore,Africa,2000
372,"Transport - Water, incl. marine activity",Struck by,GABON,Contractor,1,Onshore,Africa,2015
373,Production operations,Falls from height,CHINA,Contractor,1,Offshore,Asia/Australasia,2012
374,Transport - Land,Struck by,CHAD,no data,0,no data,Africa,2008
375,Transport - Land,"Caught in, under or between (excl. dropped objects)",CHAD,Contractor,1,Onshore,Africa,2004
376,"Construction, commissioning, decommissioning",Falls from height,KUWAIT,Contractor,1,Onshore,Middle East,2006
377,"Drilling, workover, well services",Struck by,NORWAY,Contractor,1,Offshore,Europe,2002
378,Transport - Land,Explosions or burns,PAKISTAN,no data,0,no data,Asia/Australasia,2018
379,Seismic / survey operations,Struck by,PAPUA NEW GUINEA,Contractor,1,Onshore,Asia/Australasia,2011
380,"Construction, commissioning, decommissioning","Water related, drowning",RUSSIA,Company,1,Onshore,Russia & Central Asia,2004
381,"Construction, commissioning, decommissioning",Falls from height,EGYPT,Contractor,1,Onshore,Africa,2005
382,Transport - Land,Struck by,QATAR,Contractor,2,Onshore,Middle East,2000
383,"Drilling, workover, well services",Explosions or burns,ROMANIA,Contractor,1,Onshore,Europe,2006
384,"Transport - Water, incl. marine activity",Struck by,ANGOLA,Contractor,1,Offshore,Africa,2012
385,Transport - Land,Struck by,AZERBAIJAN,no data,0,no data,Russia & Central Asia,2016
386,"Drilling, workover, well services","Caught in, under or between (excl. dropped objects)",USA,Contractor,1,Offshore,North America,2017
387,Transport - Land,Struck by,KAZAKHSTAN,Contractor,0,Onshore,Russia & Central Asia,2006
388,"Construction, commissioning, decommissioning",Pressure release,KUWAIT,Contractor,1,Onshore,Middle East,2005
389,"Transport - Water, incl. marine activity",Falls from height,RUSSIA,Contractor,1,Offshore,Russia & Central Asia,2004
390,Transport - Air,Other,BRAZIL,Company,3,Onshore,South & Central America,2009
391,Unspecified - other,Assault or violent act,INDONESIA,Company,1,Onshore,Asia/Australasia,2002
